step,value_estimate,in_cooldown,forced_action
80,-0.43881329894065857,False,False
160,-0.5070089101791382,False,False
240,-0.5962167382240295,False,False
320,-0.6243703365325928,False,False
400,-0.49663299322128296,False,False
480,-0.5892446041107178,False,False
560,-0.612053394317627,False,False
640,-0.5906231999397278,False,False
720,-0.5965259075164795,False,False
800,-0.5853428244590759,False,False
880,-0.5686719417572021,False,False
960,-0.5491410493850708,False,False
1040,-0.5363010764122009,False,False
1120,-0.5447351336479187,False,False
1200,-0.5469866991043091,False,False
1280,-0.5408029556274414,False,False
1360,-0.533913791179657,False,False
1440,-0.5305009484291077,False,False
1520,-0.5252665877342224,False,False
1600,-0.5231139063835144,False,False
1680,-0.5164865255355835,False,False
1760,-0.5137817859649658,False,False
1840,-0.5164428949356079,False,False
1920,-0.5107249021530151,False,False
2000,-0.5116084814071655,False,False
2080,-0.5084953904151917,False,False
2160,-0.5092938542366028,False,False
2240,-0.5084238648414612,False,False
2320,-0.5081367492675781,False,False
2400,-0.5079769492149353,False,False
2480,-0.5071268081665039,False,False
2560,-0.5064792633056641,False,False
2640,-0.5064237117767334,False,False
2720,-0.5073442459106445,False,False
2800,-0.5073947310447693,False,False
2880,-0.5064721703529358,False,False
2960,-0.5069541335105896,False,False
3040,-0.5063972473144531,False,False
3120,-0.5060516595840454,False,False
3200,-0.506462812423706,False,False
3280,-0.5059394240379333,False,False
3360,-0.5066537857055664,False,False
3440,-0.5051623582839966,False,False
3520,-0.5047594308853149,False,False
3600,-0.5047014355659485,False,False
3680,-0.5055894255638123,False,False
3760,-0.5053778886795044,False,False
3840,-0.5059351921081543,False,False
3920,-0.5063708424568176,False,False
4000,-0.507524311542511,False,False
4080,-0.5062707662582397,False,False
4160,-0.5059477090835571,False,False
4240,-0.5078271627426147,False,False
4320,-0.5082167983055115,False,False
4400,-0.5062031745910645,False,False
4480,-0.5064908266067505,False,False
4560,-0.5071524381637573,False,False
4640,-0.5046446323394775,False,False
4720,-0.5047653317451477,False,False
4800,-0.5046091079711914,False,False
4880,-0.504653811454773,False,False
4960,-0.5046267509460449,False,False
5040,-0.5052045583724976,False,False
5120,-0.5060862898826599,False,False
5200,-0.5057080984115601,False,False
5280,-0.5052154660224915,False,False
5360,-0.5046448707580566,False,False
5440,-0.5047289729118347,False,False
5520,-0.5046613216400146,False,False
5600,-0.505443811416626,False,False
5680,-0.5049915313720703,False,False
5760,-0.5050417184829712,False,False
