leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed,512,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.1761360410511785,1.1509583262506096,-0.048747572623091,0.6566209588629767,49.75549530982971,0.1359712027926618,42.151072865725176,0.0033775538862465,0.0035970369759625,-3.740757965694257e-06,0.0161290322580645,0.0,-0.0051459183431111,0.0514591834311118,0.0192977212748759,6.001591316486428,0.0005368479991411,0.0006865350876399,-1.1039333733143128e-05,0.0077813504823151,0.0,-0.0106568068570153,0.1065680685701531,1.5428996575050355,1.981798967315608,3.2318078882663683,-0.2269480475747215,0.079294313278198,0.3569247124322614,0.4288422509060919,-0.3677869115794355,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-073957Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed_seed512.zip,0.0476056874695349,0.2180901921655706,10,4.581179345537999,1,0.6041517620971776
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.15,13,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.15,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.1761360410511785,1.1457727777085915,0.0212533441478446,0.6566209588629767,49.89104723930359,0.1346159994072187,41.73095981623781,0.0033117813373046,0.0035992270953378,-3.740757965694257e-06,0.0184516129032258,0.0,-0.0056874448893066,0.0379162992620445,0.0194845094019493,6.059682424006258,0.0006769376467276,0.0007666826774341,-1.1039333733143128e-05,0.0149839228295819,0.0,-0.011174306075993,0.0744953738399534,1.5377141089630175,2.117969437869268,3.620202158990808,-0.1901528482592422,0.1492952300491337,0.5052809925489623,0.6188511444487093,-0.2994824452868163,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-064307Z_nvda-downside-ab-20k-ent05-bonus002-dd0.15_seed13.zip,-0.0775329478930496,0.276712385345221,5,3.568965102770542,1,0.6212739962019458
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.150246708168771,0.6008890323205636,-0.1669672936695344,0.6566209588629767,53.2109797000885,0.1326828402485601,41.13168047705364,0.0023774417419878,0.0025345167246872,-3.740757965694257e-06,0.0165806451612903,0.0,-0.0025877407537377,0.0258774075373774,0.0098466161548605,3.0622976241616264,-3.051306090314084e-05,0.0002938670668885,-1.827651535345137e-05,0.0122186495176848,0.0,-0.0061611983478328,0.061611983478328,0.9928303635749895,2.16545146813527,3.632405215516131,-0.1203456118317544,-0.0389254077682453,-0.0349187579297055,-0.0419084600491046,-0.2040052762555905,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-073507Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed_seed21.zip,0.0476056874695349,0.2180901921655706,10,4.581179345537999,1,0.5922499409797575
2,NVDA,nvda-downside-ab-20k-ent05-bonus002-dd0.10,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.150246708168771,0.6008890323205636,-0.1669672936695344,0.6566209588629767,52.94122385978699,0.1326828402485601,41.13168047705364,0.0023774417419878,0.0025345167246872,-3.740757965694257e-06,0.0165806451612903,0.0,-0.0025877407537377,0.0258774075373774,0.0098466161548605,3.0622976241616264,-3.051306090314084e-05,0.0002938670668885,-1.827651535345137e-05,0.0122186495176848,0.0,-0.0061611983478328,0.061611983478328,0.9928303635749895,2.16545146813527,3.632405215516131,-0.1203456118317544,-0.0389254077682453,-0.0349187579297055,-0.0419084600491046,-0.2040052762555905,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-063935Z_nvda-downside-ab-20k-ent05-bonus002-dd0.10_seed21.zip,0.0279733911106297,0.2250853744844028,5,8.046410018514743,1,0.5880617344351374
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10,21,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.4983922829581994,0.5400696864111498,287,309,0.9935691318327974,0.5210355987055016,0.150246708168771,0.6008890323205636,-0.1669672936695344,0.6566209588629767,51.22425866127014,0.1326828402485601,41.13168047705364,0.0023774417419878,0.0025345167246872,-3.740757965694257e-06,0.0165806451612903,0.0,-0.0025877407537377,0.0258774075373774,0.0098466161548605,3.0622976241616264,-3.051306090314084e-05,0.0002938670668885,-1.827651535345137e-05,0.0122186495176848,0.0,-0.0061611983478328,0.061611983478328,0.9928303635749895,2.16545146813527,3.632405215516131,-0.1203456118317544,-0.0389254077682453,-0.0349187579297055,-0.0419084600491046,-0.2040052762555905,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-070609Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10_seed21.zip,0.0279733911106297,0.2250853744844028,5,8.046410018514743,1,0.5880617344351374
2,NVDA,nvda-entropy-cal-20k-ent0.06-bonus002-dd10-10seed,101,20000,0.0003,0.99,0.06,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483871,0.5598705501618123,1.932223946499949,0.4855305466237942,0.5454545454545454,275,296,0.9517684887459807,0.527027027027027,0.29464356683681325,-0.16010307457870487,-0.08547524794657657,0.6566209588629767,51.57622528076172,0.1320813996348942,40.945233886817206,0.0006879140241767697,0.0008115290161146322,-3.740757965694257e-06,0.0013548387096774194,0.0,-0.001061739625905916,0.01061739625905916,0.027796025472413072,8.644563921920465,0.00014257717417977557,0.00025658611641036225,-8.786592897311004e-05,0.00045016077170418,0.0,-0.0015776746032926052,0.01577674603292605,0.2318382566757211,1.9875578945979457,2.918616975837643,-0.06064567408875299,0.042566637954712494,0.5482885482470945,0.717597199826247,-0.05531942510986321,0.391941331254426,1.625408332669604,2.208505179591514,-0.13557738905659367,0.12804188590128907,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-075552Z_nvda-entropy-cal-20k-ent0.06-bonus002-dd10-10seed_seed101.zip,-0.022970513003620095,0.2877201495784517,10,12.525630121238814,1,0.5964801819596028
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed,123,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5773195876288659,291,309,0.9967741935483873,0.5598705501618123,1.932223946499949,0.5016077170418006,0.5416666666666666,288,310,0.9967845659163987,0.5225806451612903,0.1761360410511785,0.834355695318757,0.0166483543483446,0.6566209588629767,50.25464940071106,0.1297883356890279,40.234384063598654,0.0028319492940767,0.002971956847152,-3.740757965694257e-06,0.0103225806451612,0.0,-0.0039275594177662,0.0392755941776621,0.0244432663093357,7.601855822203432,0.00062205915487,0.0006951839668012,-1.1039333733143128e-05,0.0013504823151125,0.0,-0.006461456262116,0.0646145626211606,1.226297026573183,2.013539631201451,3.363002830403642,-0.1865314595755034,0.1446902402496337,0.5112684147321552,0.6607103925227336,-0.254699428623694,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-073816Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed_seed123.zip,0.0476056874695349,0.2180901921655706,10,4.581179345537999,1,0.6106913547943211
2,NVDA,nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed,256,20000,0.0003,0.99,0.05,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5419354838709678,0.5813148788927336,289,307,0.9903225806451612,0.5635179153094463,2.191921838002238,0.4919614147909968,0.5387323943661971,284,306,0.9839228295819936,0.5196078431372549,0.1613992589627817,-0.161202024632874,-0.0707247643039983,0.6597128140392007,51.15268230438232,0.1291630939777075,40.04055913308934,0.0006857515252429,0.0008887645380969,-3.033226880041051e-05,0.0010967741935483,0.0,-0.0010405956879208,0.0104059568792084,0.0241325753299398,7.5052309276112945,0.0001941818413571,0.0002109235815578,-2.1352741077198063e-05,0.0008360128617363,0.0,-0.0014090468914874,0.0140904689148746,0.2307393066215519,1.9346722835318704,2.9425890345726824,-0.0448004923544301,0.0573171215972907,0.562950211260685,0.7836357847593489,-0.0609770390054574,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-073907Z_nvda-entropy-ab-20k-ent0.05-bonus002-dd10-10seed_seed256.zip,0.0476056874695349,0.2180901921655706,10,4.581179345537999,1,0.604699419927094
2,NVDA,nvda-entropy-ab-20k-ent0.08-bonus002-dd10-10seed,21,20000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5387096774193548,0.5778546712802768,289,307,0.9903225806451612,0.5602605863192183,2.079740338517921,0.5016077170418006,0.5435540069686411,287,309,0.9935691318327974,0.5242718446601942,0.2088103936617718,0.2407060593019168,0.0163820894328801,0.6570055115359039,50.49999380111694,0.1276316334512287,39.56580636988092,0.0016803791430327,0.0020027680959569,-2.13944549638323e-05,0.0135483870967741,0.0,-0.0036573904359338,0.0365739043593385,0.034096412739616,10.60398436202058,0.0005153979516448,0.0005767759592054,-1.973070730128779e-05,0.0029581993569131,0.0,-0.0035514664656763,0.035514664656763,0.6326473905563428,1.9050061104269465,2.9088655337817397,-0.1611573857338685,0.1444239753341691,0.6402761675254264,0.877847683103977,-0.1542768538848852,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-074333Z_nvda-entropy-ab-20k-ent0.08-bonus002-dd10-10seed_seed21.zip,0.0237796258420101,0.2122901440681106,10,8.927396313068536,1,0.6069286872636102
2,NVDA,nvda-entropy-ab-20k-ent0.08-bonus002-dd10,21,20000,0.0003,0.99,0.08,0,0,0.002,1,0.001,0.05,next_bar,0.0,0.0,0.25,sharpe,100,1e-06,1.0,0.35,0.1,0.1,0.02,0.05,1.0,1,0.5387096774193548,0.5778546712802768,289,307,0.9903225806451612,0.5602605863192183,2.079740338517921,0.5016077170418006,0.5435540069686411,287,309,0.9935691318327974,0.5242718446601942,0.2088103936617718,0.2407060593019168,0.0163820894328801,0.6570055115359039,49.270392179489136,0.1276316334512287,39.56580636988092,0.0016803791430327,0.0020027680959569,-2.13944549638323e-05,0.0135483870967741,0.0,-0.0036573904359338,0.0365739043593385,0.034096412739616,10.60398436202058,0.0005153979516448,0.0005767759592054,-1.973070730128779e-05,0.0029581993569131,0.0,-0.0035514664656763,0.035514664656763,0.6326473905563428,1.9050061104269465,2.90886553378174,-0.1611573857338685,0.1444239753341691,0.6402761675254264,0.877847683103977,-0.1542768538848852,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260406-071023Z_nvda-entropy-ab-20k-ent0.08-bonus002-dd10_seed21.zip,0.0346647844598301,0.2312062527025447,5,6.6697732671746,1,0.6069286872636102
