seed,timesteps,learning_rate,gamma,ent_coef,include_news,threshold,horizon,transaction_cost_rate,trade_penalty,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_trade_win_rate,test_cumulative_signal_return,ranking_score,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean
89,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
144,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
144,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
42,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
144,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
89,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
42,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
42,20000,0.0001,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
77,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
89,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
123,20000,0.0003,0.99,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0001,0.99,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
3,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
123,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
3,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
123,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0001,0.995,0.01,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
2,20000,0.0001,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
123,20000,0.0003,0.995,0.0,1,0.002,1,0.001,0.05,1.0,0.4,0.1,0.1,0.02,1.0,1,0.49514563106796117,0.5773584905660377,0.5566343042071198,0.7083113478987968,0.44516129032258067,0.5168539325842697,0.5096774193548387,0.006477025474912246,0.5973318061249142,-0.00048133318056254893,-0.14873195279382762,0.0017991182779851897,0.0007344833093279375,0.0,6.472491909385113e-05,-0.003079659686969527,0.030796596869695266,-0.006294265576820315,-1.9512223288142976,0.0001691206562645592,7.154805854039169e-05,0.0,6.451612903225807e-05,-0.006599450420657523,0.06599450420657522
