leaderboard_version,ticker,run_label,seed,timesteps,learning_rate,gamma,ent_coef,include_news,use_stationary_features,threshold,horizon,transaction_cost_rate,trade_penalty,execution_mode,spread_bps,slippage_bps,max_weight_delta_per_step,reward_mode,rolling_reward_window,reward_epsilon,reward_pnl_scale,reward_return_scale,reward_direction_scale,reward_hold_penalty_scale,reward_drawdown_penalty_scale,reward_action_bonus_scale,reward_turnover_penalty_scale,reward_clip,reward_ignore_transaction_cost,val_overall_accuracy,val_actionable_accuracy,val_actionable_support,val_trade_count,val_trade_rate,val_trade_win_rate,val_cumulative_signal_return,test_overall_accuracy,test_actionable_accuracy,test_actionable_support,test_trade_count,test_trade_rate,test_trade_win_rate,test_cumulative_signal_return,val_alpha_vs_qqq,test_alpha_vs_qqq,ranking_score,run_duration_seconds,val_reward_total_mean,val_reward_total_sum,val_reward_portfolio_return_mean,val_reward_direction_mean,val_reward_pnl_mean,val_reward_hold_penalty_mean,val_reward_action_bonus_mean,val_reward_turnover_penalty_mean,val_reward_drawdown_penalty_mean,val_reward_drawdown_mean,test_reward_total_mean,test_reward_total_sum,test_reward_portfolio_return_mean,test_reward_direction_mean,test_reward_pnl_mean,test_reward_hold_penalty_mean,test_reward_action_bonus_mean,test_reward_turnover_penalty_mean,test_reward_drawdown_penalty_mean,test_reward_drawdown_mean,val_cumulative_return,val_sharpe_ratio,val_sortino_ratio,val_max_drawdown,test_cumulative_return,test_sharpe_ratio,test_sortino_ratio,test_max_drawdown,val_benchmark_cumulative_return,val_benchmark_sharpe_ratio,val_benchmark_sortino_ratio,val_benchmark_max_drawdown,test_benchmark_cumulative_return,test_benchmark_sharpe_ratio,test_benchmark_sortino_ratio,test_benchmark_max_drawdown,model_path,test_return_mean_by_config,test_return_std_by_config,config_seed_count,test_return_cv_by_config,high_return_cv_risk,robustness_score
2,NVDA,nvda-next-B-realistic-nextbar,7,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.1580645161290322,0.660377358490566,53,57,0.1838709677419354,0.631578947368421,0.8279395591979379,0.0707395498392283,0.0,0,0,0.0,0.0,0.0,-0.3109714101945446,-0.128041885901289,0.6852502752953968,79.05320310592651,0.2457803118009105,76.19189665828227,0.0002527700427433,0.0003078158260609,0.0,-0.0019259565868558,0.0002258064516129,0.0,-4.947830160720969e-05,0.0009895660321441,-0.0020767429691706,-0.645867063412064,0.0,0.0,0.0,-0.0020767429691706,0.0,0.0,0.0,0.0,0.0809699210598813,2.249001388422317,2.908579578050852,-0.0107726439121068,0.0,0.0,0.0,0.0,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-182211Z_nvda-next-B-realistic-nextbar_seed7.zip,-0.0051519674412853,0.2758458030826103,10,53.54183740994125,1,0.5894272187807396
2,NVDA,nvda-next-B-realistic-nextbar,7,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.1580645161290322,0.660377358490566,53,57,0.1838709677419354,0.631578947368421,0.8279395591979379,0.0707395498392283,0.0,0,0,0.0,0.0,0.0,-0.3109714101945446,-0.128041885901289,0.6852502752953968,74.27847099304199,0.2457803118009105,76.19189665828227,0.0002527700427433,0.0003078158260609,0.0,-0.0019259565868558,0.0002258064516129,0.0,-4.947830160720969e-05,0.0009895660321441,-0.0020767429691706,-0.645867063412064,0.0,0.0,0.0,-0.0020767429691706,0.0,0.0,0.0,0.0,0.0809699210598813,2.249001388422317,2.908579578050852,-0.0107726439121068,0.0,0.0,0.0,0.0,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-191005Z_nvda-next-B-realistic-nextbar_seed7.zip,-0.0051519674412853,0.2758458030826103,10,53.54183740994125,1,0.5894272187807396
2,NVDA,nvda-next-B-confirm-samebar,256,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.4709677419354838,0.5899581589958159,239,252,0.8129032258064516,0.5793650793650794,2.0194002273937275,0.3054662379421222,0.5821917808219178,146,158,0.5080385852090032,0.5506329113924051,0.3780137408352912,-0.2171856747704659,-0.079688631399946,0.6687886033074317,67.43389773368835,0.2882092041190037,89.34485327689114,0.0005268765875332,0.0006865429320501,0.0,-0.0003320779821236,0.0004032258064516,0.0,-0.000335332682628,0.0067066536525605,0.1268942204720924,39.46410256682075,0.00015544731575,0.000295467105894,0.0,-0.0009895609990808,3.215434083601286e-05,0.0,-0.0004104521993105,0.0082090439862107,0.17475565648396,2.1400618524191994,2.812924555455312,-0.0368416577528506,0.0483532545013429,0.9191241733623272,0.9314909743390544,-0.0453043281657148,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-181825Z_nvda-next-B-confirm-samebar_seed256.zip,-0.1091548501352723,0.3061035752956677,10,2.804305763017609,1,0.6323883636285661
2,NVDA,nvda-next-B-confirm-samebar,256,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,same_bar,0.0,0.0,0.0,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.4709677419354838,0.5899581589958159,239,252,0.8129032258064516,0.5793650793650794,2.0194002273937275,0.3054662379421222,0.5821917808219178,146,158,0.5080385852090032,0.5506329113924051,0.3780137408352912,-0.2171856747704659,-0.079688631399946,0.6687886033074317,73.44449400901794,0.2882092041190037,89.34485327689114,0.0005268765875332,0.0006865429320501,0.0,-0.0003320779821236,0.0004032258064516,0.0,-0.000335332682628,0.0067066536525605,0.1268942204720924,39.46410256682075,0.00015544731575,0.000295467105894,0.0,-0.0009895609990808,3.215434083601286e-05,0.0,-0.0004104521993105,0.0082090439862107,0.17475565648396,2.1400618524191994,2.812924555455312,-0.0368416577528506,0.0483532545013429,0.9191241733623272,0.9314909743390544,-0.0453043281657148,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-190634Z_nvda-next-B-confirm-samebar_seed256.zip,-0.1091548501352723,0.3061035752956677,10,2.804305763017609,1,0.6323883636285661
2,NVDA,nvda-next2-bc-stability-nextbar-20k,42,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.3,0.55,0.1,0.04,0.007,0.05,1.0,0,0.4967741935483871,0.5852713178294574,258,273,0.8806451612903226,0.5714285714285714,1.8728191903139275,0.4437299035369775,0.5330739299610895,257,278,0.8938906752411575,0.5143884892086331,0.0372460416241315,-0.2410046057635841,-0.1272360225397253,0.6640642303433002,68.57229590415955,0.2780969686177375,86.21006027149863,0.0004621993350672,0.0006087776790216,0.0,-0.0001938841432611,0.0010612903225806,0.0,-0.0003380102342343,0.0084502558558599,0.0288279973517335,8.965507176389124,1.1063703999935847e-05,6.0678760619366296e-05,0.0,-0.0001782620879808,0.0007877813504823,0.0,-0.0008072985806246,0.0201824645156152,0.1509367254908418,1.7642013020122969,2.7060173461345225,-0.0446657513654011,0.0008058633615637,0.0426900503068071,0.0553913314514357,-0.0638704089168806,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-194152Z_nvda-next2-bc-stability-nextbar-20k_seed42.zip,0.1301977962863233,0.0880487688395904,10,0.676269271454939,0,0.6419680659813598
2,NVDA,nvda-next-BC-bridge-nextbar,777,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.3,0.55,0.1,0.04,0.007,0.04,1.0,0,0.5451612903225806,0.5833333333333334,288,305,0.9838709677419356,0.5672131147540984,2.0598952750097146,0.4983922829581994,0.5422535211267606,284,305,0.9807073954983924,0.5245901639344263,0.1760276188474354,-0.081581087773235,-0.104197843190894,0.6618306010928963,78.88352251052856,0.3428162098251652,106.2730250458012,0.0008923356008709,0.0010003738340575,0.0,-1.7395123308037414e-05,0.0014,0.0,-0.0004006132880863,0.0100153322021586,0.0645503619897626,20.075162578816183,9.032735851027514e-05,0.0001833506921965,0.0,-1.6078276315793513e-05,0.000652733118971,0.0,-0.0009184869495683,0.0229621737392078,0.3103602434811909,2.2342794449865737,3.659299850965104,-0.0541854367296428,0.0238440427103949,0.2667669626527329,0.3061499471047093,-0.0732193967835189,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-184434Z_nvda-next-BC-bridge-nextbar_seed777.zip,0.1282428856267011,0.1765763468873348,10,1.3768900007547114,1,0.6355879261559311
2,NVDA,nvda-next-BC-bridge-nextbar,777,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.3,0.55,0.1,0.04,0.007,0.04,1.0,0,0.5451612903225806,0.5833333333333334,288,305,0.9838709677419356,0.5672131147540984,2.0598952750097146,0.4983922829581994,0.5422535211267606,284,305,0.9807073954983924,0.5245901639344263,0.1760276188474354,-0.081581087773235,-0.104197843190894,0.6618306010928963,65.77303695678711,0.3428162098251652,106.2730250458012,0.0008923356008709,0.0010003738340575,0.0,-1.7395123308037414e-05,0.0014,0.0,-0.0004006132880863,0.0100153322021586,0.0645503619897626,20.075162578816183,9.032735851027514e-05,0.0001833506921965,0.0,-1.6078276315793513e-05,0.000652733118971,0.0,-0.0009184869495683,0.0229621737392078,0.3103602434811909,2.2342794449865737,3.659299850965104,-0.0541854367296428,0.0238440427103949,0.2667669626527329,0.3061499471047093,-0.0732193967835189,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-193242Z_nvda-next-BC-bridge-nextbar_seed777.zip,0.1282428856267011,0.1765763468873348,10,1.3768900007547114,1,0.6355879261559311
2,NVDA,nvda-next-B-realistic-nextbar,13,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.5258064516129032,0.5821428571428572,280,298,0.9612903225806452,0.5637583892617449,2.0039719166910963,0.2090032154340836,0.5581395348837209,86,91,0.292604501607717,0.5384615384615384,0.2572751998935725,-0.2640123116420012,-0.0993123177186015,0.6601989453499522,75.8242654800415,0.271191218277201,84.06927766593232,0.000393730307315,0.0005376645497433,0.0,-5.7687221268218224e-05,0.0002258064516129,0.0,-0.0003356075498575,0.0067121509971513,0.1320336332874357,41.0624599523925,9.403106509349504e-05,0.0001318865366073,0.0,-0.0012279675980153,9.64630225080386e-05,0.0,-0.0002585027999291,0.0051700559985831,0.1279290196124247,1.91409935313764,3.0352872501669745,-0.0326935521343986,0.0287295681826875,0.6140276811329372,0.5095585802090368,-0.0445598164942298,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-182327Z_nvda-next-B-realistic-nextbar_seed13.zip,-0.0051519674412853,0.2758458030826103,10,53.54183740994125,1,0.5990675474651351
2,NVDA,nvda-next-B-realistic-nextbar,13,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.5258064516129032,0.5821428571428572,280,298,0.9612903225806452,0.5637583892617449,2.0039719166910963,0.2090032154340836,0.5581395348837209,86,91,0.292604501607717,0.5384615384615384,0.2572751998935725,-0.2640123116420012,-0.0993123177186015,0.6601989453499522,71.44965147972107,0.271191218277201,84.06927766593232,0.000393730307315,0.0005376645497433,0.0,-5.7687221268218224e-05,0.0002258064516129,0.0,-0.0003356075498575,0.0067121509971513,0.1320336332874357,41.0624599523925,9.403106509349504e-05,0.0001318865366073,0.0,-0.0012279675980153,9.64630225080386e-05,0.0,-0.0002585027999291,0.0051700559985831,0.1279290196124247,1.91409935313764,3.0352872501669745,-0.0326935521343986,0.0287295681826875,0.6140276811329372,0.5095585802090368,-0.0445598164942298,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-191117Z_nvda-next-B-realistic-nextbar_seed13.zip,-0.0051519674412853,0.2758458030826103,10,53.54183740994125,1,0.5990675474651351
2,NVDA,nvda-next-B-realistic-nextbar,42,20000,0.0003,0.99,0.07,0,0,0.002,1,0.001,0.05,next_bar,1.0,1.0,0.25,sortino,100,1e-06,0.0,1.2,0.5,0.1,0.05,0.005,0.05,1.0,0,0.5387096774193548,0.5798611111111112,288,306,0.9870967741935484,0.5620915032679739,1.9768442563475177,0.5016077170418006,0.5422535211267606,284,304,0.977491961414791,0.5230263157894737,0.1930242991358961,-0.2740065717434048,-0.1211773094428168,0.6585580065359478,73.069415807724,0.1810035949266057,56.11111442724778,0.0003887469110429,0.0005851745651257,0.0,-1.3582709701602228e-05,0.0018225806451612,0.0,-0.0009736580147109,0.0194731602942183,0.0553126382551481,17.20223049735109,4.762505767566083e-05,0.0001353170043834,0.0,-3.056218873374507e-05,0.0013022508038585,0.0,-0.0016874267976372,0.0337485359527447,0.1179347595110211,0.8082784849543252,1.082833090955716,-0.088413601310723,0.0068645764584722,0.1057891428545777,0.1289907338823072,-0.0862101003241491,0.391941331254426,1.625408332669604,2.208505179591514,-0.1355773890565936,0.128041885901289,0.5431946432399444,0.7349245650013833,-0.228833069215711,D:\code\agentic-development\reinforcement-learning-stocks\data\experiment_snapshots\model_20260413-182556Z_nvda-next-B-realistic-nextbar_seed42.zip,-0.0051519674412853,0.2758458030826103,10,53.54183740994125,1,0.5945598960924485
